Den,Čas,Místnost,Typ akce,Četnost,Vyučující,Kapacita,Výjimky,Poznámka
Pondělí,07:30-09:00,RB 203,Cvičení,Každý týden,-,25,,-
Pondělí,07:30-09:00,RB 204,Cvičení,Každý týden,-,25,,-
Pondělí,09:15-10:45,RB 203,Cvičení,Každý týden,-,25,,-
Pondělí,09:15-10:45,SB 304,Cvičení,Každý týden,-,25,,-
Pondělí,11:00-12:30,RB 104,Cvičení,Každý týden,-,25,,-
Pondělí,11:00-12:30,SB 212,Cvičení,Každý týden,-,21,,-
Pondělí,12:45-14:15,RB 104,Cvičení,Každý týden,-,25,,-
Pondělí,12:45-14:15,RB 206,Cvičení,Každý týden,-,25,,-
Pondělí,14:30-16:00,RB 206,Cvičení,Každý týden,-,25,,-
Pondělí,16:15-17:45,SB 232,Cvičení,Každý týden,-,21,,-
Pondělí,18:00-19:30,SB 308,Cvičení,Každý týden,-,25,,-
Pondělí,18:00-19:30,SB 408,Cvičení,Každý týden,-,25,,-
Pondělí,18:00-19:30,Vencovského aula,Přednáška,Každý týden,-,420,,-
Úterý,07:30-09:00,NB 459,Cvičení,Každý týden,-,25,,-
Úterý,07:30-09:00,RB 115,Cvičení,Každý týden,-,25,,-
Úterý,09:15-10:45,RB 113,Cvičení,Každý týden,-,25,,-
Úterý,09:15-10:45,SB 111,Cvičení,Každý týden,-,21,,-
Úterý,11:00-12:30,SB 230,Cvičení,Každý týden,-,21,,-
Úterý,12:45-14:15,SB 212,Cvičení,Každý týden,-,21,,-
Úterý,12:45-14:15,SB 305A,Cvičení,Každý týden,-,21,,-
Úterý,14:30-16:00,SB 212,Cvičení,Každý týden,-,21,,-
Úterý,14:30-16:00,SB 235,Cvičení,Každý týden,-,25,,-
Úterý,16:15-17:45,SB 229,Cvičení,Každý týden,-,21,,-
Úterý,16:15-17:45,Vencovského aula,Přednáška,Každý týden,-,450,,-
Úterý,18:00-19:30,SB 236,Cvičení,Každý týden,-,25,,-
Úterý,18:00-19:30,SB 409,Cvičení,Každý týden,-,25,,-
Středa,07:30-09:00,SB 211,Cvičení,Každý týden,-,25,,-
Středa,07:30-09:00,SB 239,Cvičení,Každý týden,-,25,,-
Středa,09:15-10:45,SB 230,Cvičení,Každý týden,-,21,,-
Středa,09:15-10:45,SB 232,Cvičení,Každý týden,-,21,,-
Středa,11:00-12:30,RB 207,Cvičení,Každý týden,-,25,,-
Středa,12:45-14:15,SB 235,Cvičení,Každý týden,-,21,,-
Středa,12:45-14:15,SB 239,Cvičení,Každý týden,-,25,,-
Středa,14:30-16:00,SB 231,Cvičení,Každý týden,-,21,,-
Středa,14:30-16:00,SB 408,Cvičení,Každý týden,-,25,,-
Středa,16:15-17:45,SB 237,Cvičení,Každý týden,-,19,,-
Středa,16:15-17:45,SB 408,Cvičení,Každý týden,-,24,,-
Středa,18:00-19:30,NB 459,Cvičení,Každý týden,-,25,,-
Středa,18:00-19:30,RB 206,Cvičení,Každý týden,-,25,,-
Čtvrtek,07:30-09:00,SB 239,Cvičení,Každý týden,-,25,,-
Čtvrtek,11:00-12:30,SB 240,Cvičení,Každý týden,-,25,,-
Čtvrtek,12:45-14:15,RB 105,Cvičení,Každý týden,-,25,,-
Čtvrtek,12:45-14:15,Vencovského aula,Přednáška,Každý týden,-,450,,-
Čtvrtek,14:30-16:00,SB 234,Cvičení,Každý týden,-,21,,-
Čtvrtek,16:15-17:45,NB 472,Cvičení,Každý týden,-,25,,-
Čtvrtek,16:15-17:45,SB 230,Cvičení,Každý týden,-,21,,-
Čtvrtek,18:00-19:30,SB 303,Cvičení,Každý týden,-,25,,-
Čtvrtek,18:00-19:30,SB 411,Cvičení,Každý týden,-,25,,-
Pátek,07:30-09:00,RB 206,Cvičení,Každý týden,-,25,,-
Pátek,14:30-16:00,RB 107,Cvičení,Každý týden,-,25,,-
Pátek,14:30-16:00,RB 114,Cvičení,Každý týden,-,25,,-
