Den,Čas,Místnost,Typ akce,Četnost,Vyučující,Kapacita,Výjimky,Poznámka
Pondělí,14:30-16:00,SB 113,Cvičení,Každý týden,"David Milson, BA",21,,-
Pondělí,14:30-16:00,SB 114,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Pondělí,16:15-17:45,SB 113,Cvičení,Každý týden,"David Milson, BA",21,,-
Pondělí,16:15-17:45,SB 114,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Pondělí,18:00-19:30,SB 113,Cvičení,Každý týden,"David Milson, BA",21,,-
Pondělí,18:00-19:30,SB 114,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Úterý,11:00-12:30,SB 325,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Úterý,12:45-14:15,SB 325,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Úterý,16:15-17:45,SB 113,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Středa,11:00-12:30,SB 331,Cvičení,Každý týden,"David Milson, BA",21,,-
Středa,12:45-14:15,SB 327,Cvičení,Každý týden,"David Milson, BA",21,,-
Středa,14:30-16:00,SB 328,Cvičení,Každý týden,"David Milson, BA",21,,-
Středa,16:15-17:45,SB 328,Cvičení,Každý týden,"David Milson, BA",21,,-
Čtvrtek,12:45-14:15,SB 114,Cvičení,Každý týden,"David Milson, BA",21,,-
Čtvrtek,14:30-16:00,SB 114,Cvičení,Každý týden,"David Milson, BA",21,,-
Čtvrtek,14:30-16:00,SB 331,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
Čtvrtek,16:15-17:45,SB 114,Cvičení,Každý týden,"David Milson, BA",21,,-
Čtvrtek,16:15-17:45,SB 331,Cvičení,Každý týden,"Mgr. Michaela Duruttya, Ph.D.",21,,-
